CODE,YEAR,MONTH,LOCATION,,LIVESTOCK STOLEN,TOTAL DEATHS,POLICE DEATHS,LOCALS DEATH,SUSPECTED BANDITS,TOTAL INJURY,POLICE INJURY,LOCALS INJURY,BANDITS INJURED,NUMBER OF PEOPLE DISPLACED,NUMBER OF PEOPLE ABDUCTED,OTHER CRIMES,OTHER CRIMES,OTHER CRIMES,TYPE OF WEAPON,SPECIFICS OF WEAPON,NUMBER OF WEAPONS,AMMUNITION,TYPE,FACILITIES ATTACKED,WEB LINK,NEWSPAPER NAME,comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You MUST indicate the code of the word document you are using,indicate the YEAR of the incident,"either JAN, FEB, APR, MAY, JUN, JUL, AUG, SEPT, OCT, NOV, DEC",NAME of Place (If possible indicate name of Sub county),NUMBER ATTACKING BANDITS,Indicate the No. of cattle stolen. If none stolen indicate UNKNOWN,Total Number of Deaths (Police + Locals + Suspected Bandits),Number of Police  deaths,Number of Locals deaths,Number of Suspected Bandits Killed,Total Number of Injuries (Police + Locals + Suspected Bandits),Number of Police injured,Number of Locals Injured,Number of bandits injured,NUMBER OF PEOPLE DISPLACED,NUMBER OF PEOPLE ABDUCTED,"Indicate if there was another crime (arson, kidnapping, rape, theft of car, etc)","if there is more than one other crime indicate if there was another crime (arson, kidnapping, rape, theft of car, etc)","if there is more than one other crime indicate if there was another crime (arson, kidnapping, rape, theft of car, etc)","indicate what type of weapon this is (FIREARMS, BOW & ARROW, MACHETE)",indicate more details a about this weapon,indicate the Number of weapons,If this is a FIREARM is there amunition,"What is the type of ammunition (BULLETS, GRENADE)","Indicate if a facility has been attacked (SCHOOL, HOSPITAL, POLICE STATION, GOVERNMENT OFFICE) - IF THERE IS MORE THAN ONE FACILITY SEPARATE THEM WITH SEMI COLON (;)",Indicate the weblink this is from,INDICATE THE MEDIA HOUSE THAT PUBLISHED,ADD ANY COMMENTS YOU MAY HAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N001,2015,MAY,TURKANA;EAST POKOT,,Unknown,47,0,47,0,10,0,10,0,,,0,,,0,0,0,0,0,0,https://www.aa.com.tr/en/archive/47-killed-in-bandits-attack-in-kenya/50662,Anadolu Ajansı TURKEY,A semi-colon separates 2 counties ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N002,2024,JANUARY,BARINGO NORTH ,,Unknown,3,0,3,0,5,0,5,0,,,0,,,FIREARM,0,0,0,BULLETS,0,https://www.kenyanews.go.ke/three-family-members-killed-in-banditry-attack/,KENYA NEWS AGENCY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N003,2024,FEBRUARY,SAMBURU;ELGEYO MARAKWET ; SAMBURU ,,150,5,0,5,0,0,0,0,0,,,0,,,FIREARM,0,0,YES,BULLETS,0,https://www.citizen.digital/news/five-people-killed-as-bandits-attack-baringo-samburu-and-marakwet-counties-n337224,CITIZEN DIGITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N004,2024,FEBRUARY,BARINGO NORTH ,,Unknown,1,0,1,0,1,1,0,0,,,0,,,FIREARM,0,0,YES,BULLETS,0,https://ntvkenya.co.ke/news/suspected-bandits-spray-bullets-on-police-convoy-in-baringo-north/#google_vignette,NTV KENYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N005,2012,NOVEMBER,SAMBURU-BARAGOI SUB COUNTY ,,400,16,5,12,0,0,0,0,0,,,0,,,FIREARM,0,0,YES,BULLETS,0,https://www.bbc.com/news/world-africa-20280864,BBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N006,2023,DECEMBER,ISIOLO-GARBATULA SUBCOUNTY,,1600,3,0,0,3,0,0,0,0,,,0,,,FIREARM,0,0,YES,BULLETS,0,https://www.kenyanews.go.ke/three-bandits-gunned-down-by-security-personnel-in-isiolo/,KENYA NEWS AGENCY,A Hypen separates main county and sub county where the attack occurred ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N007,2021,APRIL,BARINGO-TIATY CONSTITUENCE,,100,11,0,0,0,0,0,0,0,,,0,,,FIREARM,AK-47,0,YES,BULLETS,0,https://www.thecitizen.co.tz/tanzania/news/national/4-killed-scores-missing-in-kenya-bandit-attack-2634444,THE CITIZEN TANZANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N008,2023,FEBRUARY,WEST POKOT;ELGEYO MARKWET;LAIKIPIA;BARINGO;SAMBURU;TURKANA,0,Unknown,116,16,100,0,0,0,0,0,,,0,,,0,0,0,0,0,0,https://www.capitalfm.co.ke/news/2023/02/100-civilians16-police-officers-killed-in-north-rift-bandit-attacks-kindiki/,CAPITAL FM ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N009,2021,APRIL,BARINGO;TURKANA,,Unknown,47,27,30,0,0,0,0,0,,,GUN THEFT,,,FIREARM,0,53,YES,BULLETS,TORCHED HOUSES,https://issafrica.org/iss-today/battle-for-power-and-wealth-fuels-kenyas-kapedo-conflict,INSTITUTE FOR SECURITY STUDIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N010,2021,NOVEMBER,MARSABIT;SAMBURU-SOIYAN,,1000,26,0,20,6,16,0,16,,,,0,,,FIREARM,0,0,YES,BULLETS,0,https://www.the-star.co.ke/news/2021-11-04-six-passengers-killed-by-unknown-bandits-in-marsabit/,THE STAR ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N011,2023,MAY,WEST POKOT,,100,1,0,1,,2,0,2,,,1,0,,,FIREARM,0,0,YES,BULLETS,0,https://ntvkenya.co.ke/news/tension-high-after-one-person-is-gunned-down-by-bandits-in-west-pokot/,NTV KENYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N012,2023,NOVEMBER,MARSABIT;ISIOLO,,25,1,1,0,,1,1,0,,,,0,,,FIREARM,G3,2,YES,BULLETS,,https://www.kbc.co.ke/two-assault-rifles-seven-heads-of-cattle-recovered-after-bandit-attack/,KBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N013,2021,JULY,ELGEYO MARAKWET- KABEN ,100,Unknown,17,0,17,,5,,5,,,,0,,,0,0,0,0,0,0,https://crisis24.garda.com/alerts/2021/07/kenya-villagers-clash-with-bandits-in-kaben-elgeyo-marakwet-county-july-20,CRISIS 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N014,2014,NOVEMBER,BARINGO,,Unknown,5,3,2,,0,,0,,,,0,,,0,0,0,0,0,0,https://allafrica.com/stories/201411030188.html,ALL AFRICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N015,2011,MAY,ISIOLO ,3,Unknown,0,0,0,,1,,1,,,,0,,,FIREARM,0,0,,BULLETS,0,https://www.horizonsunlimited.com/hubb/travellers-advisories-safety-security-road/bandit-attack-road-isiolo-marsabit-57368,HORIZON UNLIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N016,2024,MARCH,BARINGO SOUTH ,,Unknown,0,0,0,,0,,0,,2200,,0,,,0,0,0,0,0,TORCHED HOUSES,https://www.kenyans.co.ke/news/99208-baringo-students-refuse-go-home-over-holidays-after-bandits-ambushed-villages,KENYANS.CO.KE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N017,2023,FEBRUARY,TURKANA;WEST POKOT,,100,18,6,12,,10,,10,,,,0,,,FIREARM,G3;AK47,0,YES,BULLETS,0,https://nairobilawmonthly.com/my-encounter-with-bandits/,THE NAIROBI LAW MONTHLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N018,2023,MARCH,TURKANA;BARINGO-TIATY,5,200,5,0,5,,4,,4,,,,0,,,FIREARM,0,0,YES,BULLETS,0,https://nation.africa/kenya/counties/baringo/-two-more-killed-in-fresh-bandit-attacks-in-the-kenyan-north-livestock-stolen--4160098,NATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N019,2023,OCTOBER,"BARINGO-NORTH,SOUTH ",,36,8,2,6,,1,0,1,,,,0,,,FIREARM,0,0,YES,BULLETS,0,https://nation.africa/kenya/counties/baringo/renewed-bandit-attacks-deal-blow-to-state-efforts-in-baringo--4410658,NATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N020,2023,FEBRUARY,TURKANA-SOUTH ,,Unknown,4,4,0,,19,7,12,,,,LOOTING/BURNING 2 POLICE CARS,,,FIREARM,0,0,YES,BULLETS,TORCHED SCHOOLS;CHURCHES,https://www.theeastafrican.co.ke/tea/news/east-africa/deaths-as-banditry-in-kenya-north-surges-4123364,THE EAST AFRICAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N021,2023,FEBRUARY,ELGEYO MARAKWET;TURKANA;MARSABIT ,,Unknown,40,3,27,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,https://ntvkenya.co.ke/analysis/who-will-stop-the-bloodbath-a-breakdown-of-killer-attacks-by-bandits/,NTV KENYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N022,2024,MARCH,SAMBURU ,,Unknown,2,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,https://www.kenyanews.go.ke/elder-killed-in-bandit-attack/,KENYA NEWS AGENCY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N023,2021,JULY,ElGEYO MARAKWET ,,Unknown,9,0,0,5,4,0,4,,0,0,0,0,0,0,0,0,0,0,0,http://www.xinhuanet.com/english/africa/2021-07/20/c_1310073232.htm,XINHUANET ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N024,2023,FEBRUARY,TURKANA ,300,Unknown,3,3,0,0,8,0,8,,0,0,0,0,0,0,0,0,0,0,0,https://crisis24.garda.com/alerts/2023/02/kenya-suspected-bandit-attack-kills-three-and-wounds-several-in-turkana-county-feb-11,CRISIS 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N025,2024,MARCH,SAMBURU,,250,3,0,2,1,12,12,0,0,0,0,0,0,0,FIREARM,0,0,YES,BULLETS,0,https://www.kenyanews.go.ke/two-killed-12-police-officers-hospitalized-in-samburu-county/,KENYA NEWS AGENCY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N026,2021,NOVEMBER,SAMBURU ,,1000,14,0,8,6,5,0,5,,0,0,0,0,0,FIREARM,0,0,YES,BULLETS,0,http://www.news.cn/english/2021-11/04/c_1310290926.htm,XinhuaNET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N027,2017,MAY,TURKANA;BARINGO,,UnKnown,5,0,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,http://www.xinhuanet.com/english/2017-05/01/c_136248880.htm,XinhuaNET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N028,2018,MAY,BARINGO- KAPEDO ,,UnKnown,3,0,3,0,0,0,0,0,5000,0,0,0,0,FIREARM,0,0,YES,BULLETS,0,https://reliefweb.int/report/kenya/three-children-shot-dead-bandits-their-way-school-kenya,RELIEFWEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N029,2014,NOVEMBER,BARINGO-TIATY ,,Unknown,24,24,0,0,0,0,0,0,0,0,0,0,0,FIREARM,0,0,YES,BULLETS,0,https://allafrica.com/stories/201411030188.html,ALL AFRICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N030,2014,JANUARY,BARINGO,,Unknown,10,2,3,5,0,0,0,,0,,,0,0,FIREARM,0,0,YES,BULLETS,0,https://www.kenyans.co.ke/news/96405-how-4-year-old-survived-bandit-attack-claimed-entire-family,KENYANS.CO.KE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N031,2023,NOVEMBER,WEST POKOT;TURKANA,,Unknown,6,0,3,3,16,0,16,,0,,,0,0,EXPLOSIVE,HAND GRENADE,0,0,0,0,https://www.kbc.co.ke/six-killed-several-injured-in-west-pokot-turkana-border-bandit-attack/,KBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N032,2019,NOVEMBER,MARSABIT,500,Unknown,11,2,9,0,0,0,0,,0,,,0,0,FIREARM,0,0,YES,BULLETS,0,http://www.xinhuanet.com/english/2019-11/07/c_138534098.htm,XinhuaNET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N033,2019,NOVEMBER,MARSABIT,,Unknown,10,2,8,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,https://www.pulselive.co.ke/news/banditry-attacks-in-jaldesa-and-kukuto-marsabit-leave-2-police-officers-dead-10/33dl532,PULSE LIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
