Frequency,count
NATION,544
THE STAR,184
CITIZEN DIGITAL,92
NTV KENYA,52
KENYA NEWS AGENCY,44
CAPITAL NEWS,44
ALL AFRICA STORIES,31
KENYAN CO.KE,27
K24 DIGITAL,25
PULSE LIVE,23
STANDARD,19
SAUCE.CO.KE,19
RELIEF WEB,16
NATION AFRICA,15
THE NEW HUMANITARIAN,14
BBC,13
SUDAN TRIBUNE,12
THE EASTLEIGH VOICE,10
IOL,9
TV47,9
KBC,9
ALL AFRICA,8
MPASHO,7
VOA,7
REUTERS,7
STANDARD MEDIA,6
THE STANDARD,6
THE EAST AFRICAN,5
CAPITAL FM,5
NAIROBI WIRE,4
XINHUA,4
NEWS 24,4
INSTITUTE FOR SECURITY STUDIES,4
XinhuaNET,4
FRANCE 24,3
CNN,3
MWAKILISHI,3
MAIL GUARDIAN,3
NEW YORK TIMES,3
NPR,2
CCM SWEDEN,2
ORLANDO SENTINEL,2
THE FREE PRESS,2
MONGABAY,2
HUMAN RIGHTS WATCH,2
ALJAZEERA,2
NEWS CENTRAL,2
KENYANS.CO.KE,2
BUSINESS DAILY,2
CRISIS 24,2
AA ARCHIVE,1
BBC NEWS,1
AFRICA NEWS,1
NEWS LINE MAGAZINE,1
NATIONAL POLICE SERVICE,1
VOICE OF AFRICA,1
China Radio International.CRI. KISWAHILI,1
SITATA,1
Değişen Dünyanın Habercisi,1
ACLED,1
RELIEFWEB,1
THE NAIROBI LAW MONTHLY,1
HORIZON UNLIMITED,1
THE CITIZEN,1
COUNTERVRTEX,1
PUNCH NIGERIA,1
UGANDA MONITOR,1
THE INDEPENDENT,1
ISS AFRICA,1
USMUSLIMS,1
CHINADAILY,1
MALAYMAIL,1
PULSE,1
NEWVISION,1
EAST AFRICA HERALD,1
BREAKING NEWS,1
THE DEFENSE POST,1
MANILA BULLETIN,1
CHANNELS,1
PREMIUM TIMES,1
BRUSSELS TIMES,1
THE NEW YORK TIMES,1
THE AFRICA REPORT,1
NILE POST,1
WESTERN TIMES,1
THE SYDNEY MORNING HERALD,1
WIKI NEWS,1
NAIROBI CHRONICLE,1
HRW REPORTS,1
CGTN,1
UNOCHA,1
YNET,1
THE MONITOR UGANDA,1
GLOBAL ACTION ON AGING,1
SEMANTICS SCHOLAR,1
IRISH TIMES,1
CULTURAL SURVIVAL,1
AP,1
RNZ,1
YAHOO NEWS,1
RADIO TAMAZUJ,1
THE XPOSER,1
BRADFORD LIBRARY,1
TRAVEL WEEKLY,1
IOL (SOUTH AFRICA),1
LOS ANGELES TIMES,1
OXFORD ACADEMIC,1
INTER PRESS SERVICE,1
ENVIRONMENTAL NEWS NETWORK,1
WIRED,1
HERALD NET,1
CITIZEN TV,1
UNHCR,1
MIKE LEWIS RESEARCH,1
IREENES RESEARCH,1
SAFERWORLD,1
THE ECONOMIST,1
N WORLD,1
ANTHRO SOURCE,1
NEW VISION UGANDA,1
WOW.GM,1
HIRRAN ONLINE,1
CHINA.ORG.CN,1
THE WASHINGTON POST,1
THE TELEGRAPH UK,1
YNET NEWS,1
UNITED NATIONS,1
THE NAMIBIAN,1
NAMIBIAN,1
GLOBAL ISSUES,1
THE JERUSALEM POST,1
TUFTS UNIVERSITY,1
NBC NEWS,1
